scope,experiment,target_project,candidate,membership_count,exclusion_count,denominator,membership_proportion,exclusion_proportion
by_project,cross_project,CM1,DT_leaf5,0,5,5,0.0,1.0
by_project,cross_project,CM1,ET_leaf5,5,0,5,1.0,0.0
by_project,cross_project,CM1,LR_std_C0.1,5,0,5,1.0,0.0
by_project,cross_project,CM1,LR_std_C1,5,0,5,1.0,0.0
by_project,cross_project,JM1,DT_leaf5,0,5,5,0.0,1.0
by_project,cross_project,JM1,ET_leaf5,5,0,5,1.0,0.0
by_project,cross_project,JM1,LR_std_C0.1,5,0,5,1.0,0.0
by_project,cross_project,JM1,LR_std_C1,5,0,5,1.0,0.0
by_project,cross_project,KC1,DT_leaf5,0,5,5,0.0,1.0
by_project,cross_project,KC1,ET_leaf5,5,0,5,1.0,0.0
by_project,cross_project,KC1,LR_std_C0.1,5,0,5,1.0,0.0
by_project,cross_project,KC1,LR_std_C1,5,0,5,1.0,0.0
by_project,cross_project,KC2,DT_leaf5,0,5,5,0.0,1.0
by_project,cross_project,KC2,ET_leaf5,5,0,5,1.0,0.0
by_project,cross_project,KC2,LR_std_C0.1,5,0,5,1.0,0.0
by_project,cross_project,KC2,LR_std_C1,5,0,5,1.0,0.0
by_project,cross_project,PC1,DT_leaf5,0,5,5,0.0,1.0
by_project,cross_project,PC1,ET_leaf5,5,0,5,1.0,0.0
by_project,cross_project,PC1,LR_std_C0.1,5,0,5,1.0,0.0
by_project,cross_project,PC1,LR_std_C1,5,0,5,1.0,0.0
by_project,within_project,CM1,DT_leaf5,1,4,5,0.2,0.8
by_project,within_project,CM1,ET_leaf5,4,1,5,0.8,0.2
by_project,within_project,CM1,LR_std_C0.1,5,0,5,1.0,0.0
by_project,within_project,CM1,LR_std_C1,5,0,5,1.0,0.0
by_project,within_project,JM1,DT_leaf5,0,5,5,0.0,1.0
by_project,within_project,JM1,ET_leaf5,5,0,5,1.0,0.0
by_project,within_project,JM1,LR_std_C0.1,5,0,5,1.0,0.0
by_project,within_project,JM1,LR_std_C1,5,0,5,1.0,0.0
by_project,within_project,KC1,DT_leaf5,3,2,5,0.6,0.4
by_project,within_project,KC1,ET_leaf5,5,0,5,1.0,0.0
by_project,within_project,KC1,LR_std_C0.1,3,2,5,0.6,0.4
by_project,within_project,KC1,LR_std_C1,4,1,5,0.8,0.2
by_project,within_project,KC2,DT_leaf5,1,4,5,0.2,0.8
by_project,within_project,KC2,ET_leaf5,5,0,5,1.0,0.0
by_project,within_project,KC2,LR_std_C0.1,5,0,5,1.0,0.0
by_project,within_project,KC2,LR_std_C1,4,1,5,0.8,0.2
by_project,within_project,PC1,DT_leaf5,5,0,5,1.0,0.0
by_project,within_project,PC1,ET_leaf5,5,0,5,1.0,0.0
by_project,within_project,PC1,LR_std_C0.1,2,3,5,0.4,0.6
by_project,within_project,PC1,LR_std_C1,3,2,5,0.6,0.4
by_setting,cross_project,all,DT_leaf5,0,25,25,0.0,1.0
by_setting,cross_project,all,ET_leaf5,25,0,25,1.0,0.0
by_setting,cross_project,all,LR_std_C0.1,25,0,25,1.0,0.0
by_setting,cross_project,all,LR_std_C1,25,0,25,1.0,0.0
by_setting,within_project,all,DT_leaf5,10,15,25,0.4,0.6
by_setting,within_project,all,ET_leaf5,24,1,25,0.96,0.04
by_setting,within_project,all,LR_std_C0.1,20,5,25,0.8,0.2
by_setting,within_project,all,LR_std_C1,21,4,25,0.84,0.16
overall,all,all,DT_leaf5,10,40,50,0.2,0.8
overall,all,all,ET_leaf5,49,1,50,0.98,0.02
overall,all,all,LR_std_C0.1,45,5,50,0.9,0.1
overall,all,all,LR_std_C1,46,4,50,0.92,0.08
