scope,experiment,selected_order,count,denominator,proportion
by_setting,cross_project,DT_leaf5|ET_leaf5|LR_std_C0.1,0,25,0.0
by_setting,cross_project,DT_leaf5|ET_leaf5|LR_std_C1,0,25,0.0
by_setting,cross_project,DT_leaf5|LR_std_C0.1|ET_leaf5,0,25,0.0
by_setting,cross_project,DT_leaf5|LR_std_C0.1|LR_std_C1,0,25,0.0
by_setting,cross_project,DT_leaf5|LR_std_C1|ET_leaf5,0,25,0.0
by_setting,cross_project,DT_leaf5|LR_std_C1|LR_std_C0.1,0,25,0.0
by_setting,cross_project,ET_leaf5|DT_leaf5|LR_std_C0.1,0,25,0.0
by_setting,cross_project,ET_leaf5|DT_leaf5|LR_std_C1,0,25,0.0
by_setting,cross_project,ET_leaf5|LR_std_C0.1|DT_leaf5,0,25,0.0
by_setting,cross_project,ET_leaf5|LR_std_C0.1|LR_std_C1,12,25,0.48
by_setting,cross_project,ET_leaf5|LR_std_C1|DT_leaf5,0,25,0.0
by_setting,cross_project,ET_leaf5|LR_std_C1|LR_std_C0.1,12,25,0.48
by_setting,cross_project,LR_std_C0.1|DT_leaf5|ET_leaf5,0,25,0.0
by_setting,cross_project,LR_std_C0.1|DT_leaf5|LR_std_C1,0,25,0.0
by_setting,cross_project,LR_std_C0.1|ET_leaf5|DT_leaf5,0,25,0.0
by_setting,cross_project,LR_std_C0.1|ET_leaf5|LR_std_C1,0,25,0.0
by_setting,cross_project,LR_std_C0.1|LR_std_C1|DT_leaf5,0,25,0.0
by_setting,cross_project,LR_std_C0.1|LR_std_C1|ET_leaf5,1,25,0.04
by_setting,cross_project,LR_std_C1|DT_leaf5|ET_leaf5,0,25,0.0
by_setting,cross_project,LR_std_C1|DT_leaf5|LR_std_C0.1,0,25,0.0
by_setting,cross_project,LR_std_C1|ET_leaf5|DT_leaf5,0,25,0.0
by_setting,cross_project,LR_std_C1|ET_leaf5|LR_std_C0.1,0,25,0.0
by_setting,cross_project,LR_std_C1|LR_std_C0.1|DT_leaf5,0,25,0.0
by_setting,cross_project,LR_std_C1|LR_std_C0.1|ET_leaf5,0,25,0.0
by_setting,within_project,DT_leaf5|ET_leaf5|LR_std_C0.1,1,25,0.04
by_setting,within_project,DT_leaf5|ET_leaf5|LR_std_C1,3,25,0.12
by_setting,within_project,DT_leaf5|LR_std_C0.1|ET_leaf5,0,25,0.0
by_setting,within_project,DT_leaf5|LR_std_C0.1|LR_std_C1,0,25,0.0
by_setting,within_project,DT_leaf5|LR_std_C1|ET_leaf5,0,25,0.0
by_setting,within_project,DT_leaf5|LR_std_C1|LR_std_C0.1,1,25,0.04
by_setting,within_project,ET_leaf5|DT_leaf5|LR_std_C0.1,0,25,0.0
by_setting,within_project,ET_leaf5|DT_leaf5|LR_std_C1,0,25,0.0
by_setting,within_project,ET_leaf5|LR_std_C0.1|DT_leaf5,3,25,0.12
by_setting,within_project,ET_leaf5|LR_std_C0.1|LR_std_C1,5,25,0.2
by_setting,within_project,ET_leaf5|LR_std_C1|DT_leaf5,2,25,0.08
by_setting,within_project,ET_leaf5|LR_std_C1|LR_std_C0.1,6,25,0.24
by_setting,within_project,LR_std_C0.1|DT_leaf5|ET_leaf5,0,25,0.0
by_setting,within_project,LR_std_C0.1|DT_leaf5|LR_std_C1,0,25,0.0
by_setting,within_project,LR_std_C0.1|ET_leaf5|DT_leaf5,0,25,0.0
by_setting,within_project,LR_std_C0.1|ET_leaf5|LR_std_C1,0,25,0.0
by_setting,within_project,LR_std_C0.1|LR_std_C1|DT_leaf5,0,25,0.0
by_setting,within_project,LR_std_C0.1|LR_std_C1|ET_leaf5,1,25,0.04
by_setting,within_project,LR_std_C1|DT_leaf5|ET_leaf5,0,25,0.0
by_setting,within_project,LR_std_C1|DT_leaf5|LR_std_C0.1,0,25,0.0
by_setting,within_project,LR_std_C1|ET_leaf5|DT_leaf5,0,25,0.0
by_setting,within_project,LR_std_C1|ET_leaf5|LR_std_C0.1,2,25,0.08
by_setting,within_project,LR_std_C1|LR_std_C0.1|DT_leaf5,0,25,0.0
