scope,experiment,position,candidate,count,denominator,proportion
by_setting,cross_project,1,DT_leaf5,0,25,0.0
by_setting,cross_project,1,ET_leaf5,24,25,0.96
by_setting,cross_project,1,LR_std_C0.1,1,25,0.04
by_setting,cross_project,1,LR_std_C1,0,25,0.0
by_setting,cross_project,2,DT_leaf5,0,25,0.0
by_setting,cross_project,2,ET_leaf5,0,25,0.0
by_setting,cross_project,2,LR_std_C0.1,12,25,0.48
by_setting,cross_project,2,LR_std_C1,13,25,0.52
by_setting,cross_project,3,DT_leaf5,0,25,0.0
by_setting,cross_project,3,ET_leaf5,1,25,0.04
by_setting,cross_project,3,LR_std_C0.1,12,25,0.48
by_setting,cross_project,3,LR_std_C1,12,25,0.48
by_setting,within_project,1,DT_leaf5,5,25,0.2
by_setting,within_project,1,ET_leaf5,16,25,0.64
by_setting,within_project,1,LR_std_C0.1,1,25,0.04
by_setting,within_project,1,LR_std_C1,3,25,0.12
by_setting,within_project,2,DT_leaf5,0,25,0.0
by_setting,within_project,2,ET_leaf5,6,25,0.24
by_setting,within_project,2,LR_std_C0.1,9,25,0.36
by_setting,within_project,2,LR_std_C1,10,25,0.4
by_setting,within_project,3,DT_leaf5,5,25,0.2
by_setting,within_project,3,ET_leaf5,2,25,0.08
by_setting,within_project,3,LR_std_C0.1,10,25,0.4
by_setting,within_project,3,LR_std_C1,8,25,0.32
overall,all,1,DT_leaf5,5,50,0.1
overall,all,1,ET_leaf5,40,50,0.8
overall,all,1,LR_std_C0.1,2,50,0.04
overall,all,1,LR_std_C1,3,50,0.06
overall,all,2,DT_leaf5,0,50,0.0
overall,all,2,ET_leaf5,6,50,0.12
overall,all,2,LR_std_C0.1,21,50,0.42
overall,all,2,LR_std_C1,23,50,0.46
overall,all,3,DT_leaf5,5,50,0.1
overall,all,3,ET_leaf5,3,50,0.06
overall,all,3,LR_std_C0.1,22,50,0.44
overall,all,3,LR_std_C1,20,50,0.4
