experiment,target_project,n_seeds,distinct_orders,modal_orders,modal_order_count,modal_order_proportion,order_modal_tie,unanimous_order,distinct_membership_sets,modal_membership_sets,modal_excluded_candidates,modal_membership_count,modal_membership_proportion,membership_modal_tie,unanimous_membership,exact_order_pairwise_agreement,exact_membership_pairwise_agreement,mean_pairwise_jaccard,mean_full_rank_position_agreement,mean_pairwise_kendall_tau,mean_pairwise_kendall_similarity,minimum_cutoff_score_gap,median_cutoff_score_gap,mean_cutoff_score_gap
cross_project,CM1,5,2,ET_leaf5|LR_std_C0.1|LR_std_C1,3,0.6,False,False,1,LR_std_C0.1|LR_std_C1|ET_leaf5,DT_leaf5,5,1.0,False,True,0.4,1.0,1.0,0.7,0.8,0.9,0.0319311095238611,0.0433789671122757,0.04441475543812298
cross_project,JM1,5,3,ET_leaf5|LR_std_C1|LR_std_C0.1,3,0.6,False,False,1,LR_std_C0.1|LR_std_C1|ET_leaf5,DT_leaf5,5,1.0,False,True,0.3,1.0,1.0,0.625,0.5333333333333333,0.7666666666666666,0.0335136713899134,0.0544943877403697,0.05424418746505988
cross_project,KC1,5,2,ET_leaf5|LR_std_C0.1|LR_std_C1,4,0.8,False,False,1,LR_std_C0.1|LR_std_C1|ET_leaf5,DT_leaf5,5,1.0,False,True,0.6,1.0,1.0,0.8,0.8666666666666666,0.9333333333333333,0.017964070870854,0.0250910499808663,0.033186705003304576
cross_project,KC2,5,2,ET_leaf5|LR_std_C1|LR_std_C0.1,4,0.8,False,False,1,LR_std_C0.1|LR_std_C1|ET_leaf5,DT_leaf5,5,1.0,False,True,0.6,1.0,1.0,0.8,0.8666666666666666,0.9333333333333333,0.0252171911907598,0.0372780303881882,0.04296738634620922
cross_project,PC1,5,2,ET_leaf5|LR_std_C0.1|LR_std_C1,3,0.6,False,False,1,LR_std_C0.1|LR_std_C1|ET_leaf5,DT_leaf5,5,1.0,False,True,0.4,1.0,1.0,0.7,0.8,0.9,0.0310347496948646,0.0429599609403453,0.04481653843376142
within_project,CM1,5,4,ET_leaf5|LR_std_C0.1|LR_std_C1,2,0.4,False,False,2,LR_std_C0.1|LR_std_C1|ET_leaf5,DT_leaf5,4,0.8,False,False,0.1,0.6,0.8,0.325,-5.551115123125783e-18,0.5,0.034239563695731,0.1014272389211193,0.10520005227762808
within_project,JM1,5,2,ET_leaf5|LR_std_C1|LR_std_C0.1,3,0.6,False,False,1,LR_std_C0.1|LR_std_C1|ET_leaf5,DT_leaf5,5,1.0,False,True,0.4,1.0,1.0,0.7,0.8,0.9,0.0292996020633372,0.0465961822256239,0.05306867051394777
within_project,KC1,5,5,LR_std_C1|ET_leaf5|LR_std_C0.1|OR|DT_leaf5|ET_leaf5|LR_std_C1|OR|ET_leaf5|LR_std_C0.1|DT_leaf5|OR|ET_leaf5|LR_std_C1|LR_std_C0.1|OR|ET_leaf5|LR_std_C1|DT_leaf5,1,0.2,True,False,3,LR_std_C1|DT_leaf5|ET_leaf5|OR|LR_std_C0.1|LR_std_C1|ET_leaf5,LR_std_C0.1|OR|DT_leaf5,2,0.4,True,False,0.0,0.2,0.6,0.225,0.2,0.6,0.0005735938976423,0.0092592032848436,0.012778166427111739
within_project,KC2,5,4,ET_leaf5|LR_std_C1|LR_std_C0.1,2,0.4,False,False,2,LR_std_C0.1|LR_std_C1|ET_leaf5,DT_leaf5,4,0.8,False,False,0.1,0.6,0.8,0.425,0.26666666666666666,0.6333333333333333,0.0062943417805582,0.0751411611653476,0.11983597630979814
within_project,PC1,5,3,DT_leaf5|ET_leaf5|LR_std_C1|OR|ET_leaf5|LR_std_C0.1|DT_leaf5,2,0.4,True,False,2,LR_std_C1|DT_leaf5|ET_leaf5,LR_std_C0.1,3,0.6,False,False,0.2,0.4,0.7,0.35,0.26666666666666666,0.6333333333333333,0.0093767726214962,0.0251495162148097,0.025841599541043658
