selector_model,mode,experiment,target_project,n_seeds,distinct_candidates,modal_candidates,modal_count,modal_proportion,modal_tie,unanimous,at_least_four_of_five,pairwise_agreement,shannon_entropy_nats,normalized_entropy
AQRPE_v2_balanced,balanced,cross_project,CM1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_balanced,balanced,cross_project,JM1,5,2,ET_leaf5,4,0.8,False,False,True,0.6,0.5004024235381879,0.36096404744368116
AQRPE_v2_balanced,balanced,cross_project,KC1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_balanced,balanced,cross_project,KC2,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_balanced,balanced,cross_project,PC1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_balanced,balanced,within_project,CM1,5,4,ET_leaf5,2,0.4,False,False,False,0.1,1.3321790402101223,0.9609640474436812
AQRPE_v2_balanced,balanced,within_project,JM1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_balanced,balanced,within_project,KC1,5,3,ET_leaf5,3,0.6,False,False,False,0.3,0.9502705392332347,0.6854752972273345
AQRPE_v2_balanced,balanced,within_project,KC2,5,3,ET_leaf5,3,0.6,False,False,False,0.3,0.9502705392332347,0.6854752972273345
AQRPE_v2_balanced,balanced,within_project,PC1,5,2,ET_leaf5,3,0.6,False,False,False,0.4,0.6730116670092565,0.4854752972273344
AQRPE_v2_mcc,mcc,cross_project,CM1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_mcc,mcc,cross_project,JM1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_mcc,mcc,cross_project,KC1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_mcc,mcc,cross_project,KC2,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_mcc,mcc,cross_project,PC1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_mcc,mcc,within_project,CM1,5,4,ET_leaf5,2,0.4,False,False,False,0.1,1.3321790402101223,0.9609640474436812
AQRPE_v2_mcc,mcc,within_project,JM1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_mcc,mcc,within_project,KC1,5,4,ET_leaf5,2,0.4,False,False,False,0.1,1.3321790402101223,0.9609640474436812
AQRPE_v2_mcc,mcc,within_project,KC2,5,3,ET_leaf5,3,0.6,False,False,False,0.3,0.9502705392332347,0.6854752972273345
AQRPE_v2_mcc,mcc,within_project,PC1,5,2,ET_leaf5,3,0.6,False,False,False,0.4,0.6730116670092565,0.4854752972273344
AQRPE_v2_rank,rank,cross_project,CM1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_rank,rank,cross_project,JM1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_rank,rank,cross_project,KC1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_rank,rank,cross_project,KC2,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_rank,rank,cross_project,PC1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_rank,rank,within_project,CM1,5,2,LR_std_C1,3,0.6,False,False,False,0.4,0.6730116670092565,0.4854752972273344
AQRPE_v2_rank,rank,within_project,JM1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
AQRPE_v2_rank,rank,within_project,KC1,5,3,ET_leaf5,3,0.6,False,False,False,0.3,0.9502705392332347,0.6854752972273345
AQRPE_v2_rank,rank,within_project,KC2,5,2,ET_leaf5,3,0.6,False,False,False,0.4,0.6730116670092565,0.4854752972273344
AQRPE_v2_rank,rank,within_project,PC1,5,1,ET_leaf5,5,1.0,False,True,True,1.0,-0.0,-0.0
