experiment,target_project,seed,selector_model,mode,selected_candidate,threshold,selection_score
cross_project,CM1,7,AQRPE_v2_balanced,balanced,ET_leaf5,0.453,0.434639478202617
cross_project,CM1,13,AQRPE_v2_balanced,balanced,ET_leaf5,0.5,0.4393411735971071
cross_project,CM1,29,AQRPE_v2_balanced,balanced,ET_leaf5,0.5235,0.4153846540092612
cross_project,CM1,42,AQRPE_v2_balanced,balanced,ET_leaf5,0.5,0.4476111804503941
cross_project,CM1,101,AQRPE_v2_balanced,balanced,ET_leaf5,0.4765,0.4526730919872475
cross_project,JM1,7,AQRPE_v2_balanced,balanced,ET_leaf5,0.4765,0.4886910603233667
cross_project,JM1,13,AQRPE_v2_balanced,balanced,ET_leaf5,0.6175,0.4751346978697403
cross_project,JM1,29,AQRPE_v2_balanced,balanced,ET_leaf5,0.6175,0.4617247314620555
cross_project,JM1,42,AQRPE_v2_balanced,balanced,LR_std_C0.1,0.5235,0.4174262582355806
cross_project,JM1,101,AQRPE_v2_balanced,balanced,ET_leaf5,0.453,0.4401701924696228
cross_project,KC1,7,AQRPE_v2_balanced,balanced,ET_leaf5,0.525155,0.4609589899010305
cross_project,KC1,13,AQRPE_v2_balanced,balanced,ET_leaf5,0.5,0.4365881143958914
cross_project,KC1,29,AQRPE_v2_balanced,balanced,ET_leaf5,0.468811,0.4353524706567869
cross_project,KC1,42,AQRPE_v2_balanced,balanced,ET_leaf5,0.4765,0.4459686597849041
cross_project,KC1,101,AQRPE_v2_balanced,balanced,ET_leaf5,0.549919,0.4404165119192176
cross_project,KC2,7,AQRPE_v2_balanced,balanced,ET_leaf5,0.511147,0.4285277268493354
cross_project,KC2,13,AQRPE_v2_balanced,balanced,ET_leaf5,0.5235,0.4422798283064781
cross_project,KC2,29,AQRPE_v2_balanced,balanced,ET_leaf5,0.463723,0.4250454683989534
cross_project,KC2,42,AQRPE_v2_balanced,balanced,ET_leaf5,0.480253,0.4516613796829103
cross_project,KC2,101,AQRPE_v2_balanced,balanced,ET_leaf5,0.518908,0.4296047000929895
cross_project,PC1,7,AQRPE_v2_balanced,balanced,ET_leaf5,0.4765,0.4319362143028979
cross_project,PC1,13,AQRPE_v2_balanced,balanced,ET_leaf5,0.453698,0.4332459686531796
cross_project,PC1,29,AQRPE_v2_balanced,balanced,ET_leaf5,0.453333,0.435191117999708
cross_project,PC1,42,AQRPE_v2_balanced,balanced,ET_leaf5,0.5,0.4550296927607082
cross_project,PC1,101,AQRPE_v2_balanced,balanced,ET_leaf5,0.547,0.4423034000026957
within_project,CM1,7,AQRPE_v2_balanced,balanced,ET_leaf5,0.641,0.4296927558544454
within_project,CM1,13,AQRPE_v2_balanced,balanced,ET_leaf5,0.504355,0.4445503475604144
within_project,CM1,29,AQRPE_v2_balanced,balanced,DT_leaf5,0.03,0.4120396702958604
within_project,CM1,42,AQRPE_v2_balanced,balanced,LR_std_C1,0.4295,0.4515273351133238
within_project,CM1,101,AQRPE_v2_balanced,balanced,LR_std_C0.1,0.539624,0.4248880546850788
within_project,JM1,7,AQRPE_v2_balanced,balanced,ET_leaf5,0.4765,0.4183490088504131
within_project,JM1,13,AQRPE_v2_balanced,balanced,ET_leaf5,0.540571,0.4432492687341542
within_project,JM1,29,AQRPE_v2_balanced,balanced,ET_leaf5,0.583214,0.4323075488986717
within_project,JM1,42,AQRPE_v2_balanced,balanced,ET_leaf5,0.423457,0.4280300377809547
within_project,JM1,101,AQRPE_v2_balanced,balanced,ET_leaf5,0.5705,0.4626496979898897
within_project,KC1,7,AQRPE_v2_balanced,balanced,ET_leaf5,0.5235,0.5188363375672044
within_project,KC1,13,AQRPE_v2_balanced,balanced,DT_leaf5,0.5235,0.5352438822490762
within_project,KC1,29,AQRPE_v2_balanced,balanced,ET_leaf5,0.5,0.422417230983649
within_project,KC1,42,AQRPE_v2_balanced,balanced,ET_leaf5,0.5705,0.5009855166206613
within_project,KC1,101,AQRPE_v2_balanced,balanced,LR_std_C1,0.7585,0.4662380901434408
