selector_model,mode,experiment,target_project,candidate,count,denominator,proportion
AQRPE_v2_balanced,balanced,cross_project,CM1,DT_leaf5,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,CM1,ET_leaf5,5,5,1.0
AQRPE_v2_balanced,balanced,cross_project,CM1,LR_std_C0.1,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,CM1,LR_std_C1,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,JM1,DT_leaf5,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,JM1,ET_leaf5,4,5,0.8
AQRPE_v2_balanced,balanced,cross_project,JM1,LR_std_C0.1,1,5,0.2
AQRPE_v2_balanced,balanced,cross_project,JM1,LR_std_C1,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,KC1,DT_leaf5,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,KC1,ET_leaf5,5,5,1.0
AQRPE_v2_balanced,balanced,cross_project,KC1,LR_std_C0.1,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,KC1,LR_std_C1,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,KC2,DT_leaf5,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,KC2,ET_leaf5,5,5,1.0
AQRPE_v2_balanced,balanced,cross_project,KC2,LR_std_C0.1,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,KC2,LR_std_C1,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,PC1,DT_leaf5,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,PC1,ET_leaf5,5,5,1.0
AQRPE_v2_balanced,balanced,cross_project,PC1,LR_std_C0.1,0,5,0.0
AQRPE_v2_balanced,balanced,cross_project,PC1,LR_std_C1,0,5,0.0
AQRPE_v2_balanced,balanced,within_project,CM1,DT_leaf5,1,5,0.2
AQRPE_v2_balanced,balanced,within_project,CM1,ET_leaf5,2,5,0.4
AQRPE_v2_balanced,balanced,within_project,CM1,LR_std_C0.1,1,5,0.2
AQRPE_v2_balanced,balanced,within_project,CM1,LR_std_C1,1,5,0.2
AQRPE_v2_balanced,balanced,within_project,JM1,DT_leaf5,0,5,0.0
AQRPE_v2_balanced,balanced,within_project,JM1,ET_leaf5,5,5,1.0
AQRPE_v2_balanced,balanced,within_project,JM1,LR_std_C0.1,0,5,0.0
AQRPE_v2_balanced,balanced,within_project,JM1,LR_std_C1,0,5,0.0
AQRPE_v2_balanced,balanced,within_project,KC1,DT_leaf5,1,5,0.2
AQRPE_v2_balanced,balanced,within_project,KC1,ET_leaf5,3,5,0.6
AQRPE_v2_balanced,balanced,within_project,KC1,LR_std_C0.1,0,5,0.0
AQRPE_v2_balanced,balanced,within_project,KC1,LR_std_C1,1,5,0.2
AQRPE_v2_balanced,balanced,within_project,KC2,DT_leaf5,1,5,0.2
AQRPE_v2_balanced,balanced,within_project,KC2,ET_leaf5,3,5,0.6
AQRPE_v2_balanced,balanced,within_project,KC2,LR_std_C0.1,0,5,0.0
AQRPE_v2_balanced,balanced,within_project,KC2,LR_std_C1,1,5,0.2
AQRPE_v2_balanced,balanced,within_project,PC1,DT_leaf5,2,5,0.4
AQRPE_v2_balanced,balanced,within_project,PC1,ET_leaf5,3,5,0.6
AQRPE_v2_balanced,balanced,within_project,PC1,LR_std_C0.1,0,5,0.0
AQRPE_v2_balanced,balanced,within_project,PC1,LR_std_C1,0,5,0.0
AQRPE_v2_mcc,mcc,cross_project,CM1,DT_leaf5,0,5,0.0
AQRPE_v2_mcc,mcc,cross_project,CM1,ET_leaf5,5,5,1.0
AQRPE_v2_mcc,mcc,cross_project,CM1,LR_std_C0.1,0,5,0.0
