selector_model,mode,experiment,candidate,count,denominator,proportion
AQRPE_v2_balanced,balanced,cross_project,DT_leaf5,0,25,0.0
AQRPE_v2_balanced,balanced,cross_project,ET_leaf5,24,25,0.96
AQRPE_v2_balanced,balanced,cross_project,LR_std_C0.1,1,25,0.04
AQRPE_v2_balanced,balanced,cross_project,LR_std_C1,0,25,0.0
AQRPE_v2_balanced,balanced,within_project,DT_leaf5,5,25,0.2
AQRPE_v2_balanced,balanced,within_project,ET_leaf5,16,25,0.64
AQRPE_v2_balanced,balanced,within_project,LR_std_C0.1,1,25,0.04
AQRPE_v2_balanced,balanced,within_project,LR_std_C1,3,25,0.12
AQRPE_v2_mcc,mcc,cross_project,DT_leaf5,0,25,0.0
AQRPE_v2_mcc,mcc,cross_project,ET_leaf5,25,25,1.0
AQRPE_v2_mcc,mcc,cross_project,LR_std_C0.1,0,25,0.0
AQRPE_v2_mcc,mcc,cross_project,LR_std_C1,0,25,0.0
AQRPE_v2_mcc,mcc,within_project,DT_leaf5,5,25,0.2
AQRPE_v2_mcc,mcc,within_project,ET_leaf5,15,25,0.6
AQRPE_v2_mcc,mcc,within_project,LR_std_C0.1,2,25,0.08
AQRPE_v2_mcc,mcc,within_project,LR_std_C1,3,25,0.12
AQRPE_v2_rank,rank,cross_project,DT_leaf5,0,25,0.0
AQRPE_v2_rank,rank,cross_project,ET_leaf5,25,25,1.0
AQRPE_v2_rank,rank,cross_project,LR_std_C0.1,0,25,0.0
AQRPE_v2_rank,rank,cross_project,LR_std_C1,0,25,0.0
AQRPE_v2_rank,rank,within_project,DT_leaf5,0,25,0.0
AQRPE_v2_rank,rank,within_project,ET_leaf5,16,25,0.64
AQRPE_v2_rank,rank,within_project,LR_std_C0.1,5,25,0.2
AQRPE_v2_rank,rank,within_project,LR_std_C1,4,25,0.16
